,Crops,Biomass,Land cover,Bioclimatic,Pop.,Dist. road
alphaearth + tessera,-0.06261108480864301,-0.0013010313966181465,0.19227178294554753,0.12450983615605596,-0.00947824892295192,0.05790743539565605
alphaearth + geoclip,0.04705758756121607,-0.10986115195530687,0.00909648515562561,0.1942563321439789,-0.14845520482796584,0.0827820901190374
alphaearth + satclip,0.01459528263079891,-0.012921513685678256,0.05496520909896223,0.20499808092372096,-0.03989161110675949,0.11914563885620832
tessera + geoclip,0.01887394740670136,-0.03075973097125727,-0.005456183250349715,0.20296095434980632,-0.1156338077806214,0.10498088989110033
tessera + satclip,0.02237144447457429,0.0509699930835911,0.03589673525631958,0.25807509822854935,-0.04478928043249596,0.09896877707947443
geoclip + satclip,0.0036244767338492927,-0.031182532875422005,0.007896119147300287,0.23154638782991283,-0.11576909903019614,0.0950008365073117
All GFMs,0.02466422071729903,-0.200152636942501,0.17609126081379228,0.3463377175462466,-0.21717391007428888,0.15951311092651602
