,\textit{Water},\textit{Trees},\textit{Grass},\textit{Flood.},\textit{Crops},\textit{Shrub},\textit{Built},\textit{Bare},\textit{Snow}
alphaearth + tessera,0.1713207798341102,0.1471254480301275,0.17651826188140943,0.10590997230967628,0.21791052905762684,0.16318114923743438,0.16776155405398538,0.20617624882118032,0.09180165217102859
alphaearth + geoclip,-0.008263129950229207,-0.019638377602113604,0.021092204570546287,-0.01082504968194818,0.03337850707250096,0.0013691979092805226,-0.0009297139877671076,0.020231306469589656,0.096296568178426
alphaearth + satclip,0.0428935922906284,0.030933381142142596,0.06789637154257519,0.027650059094660964,0.08033761657135813,0.06298705538851641,0.02969779378670889,0.07588965607969841,0.1260469496198213
tessera + geoclip,-0.029887535198200303,-0.01919354072494631,0.011466329396530674,-0.027191715261122865,0.016755887539583687,0.0005188810085669746,-0.028832322533748286,0.005559554633586564,0.06721855770507788
tessera + satclip,0.008587035420139734,0.01914385828645568,0.06092521422461039,0.017284011997360866,0.06275706560930085,0.04977040811830691,-0.004776480482589235,0.04300841187886084,0.09102184599179439
geoclip + satclip,-0.020797432288744817,-0.021206581867373456,0.008057659044287275,-0.03747007378326671,-0.008864610141068827,-0.011188877656604078,0.0023786766860835135,0.2540399045160359,0.10434762507124239
All GFMs,0.13448664961251447,0.10790409006660431,0.17494096348818378,0.059182455293983666,0.2241057846631126,0.15286423309330907,0.13067729158288371,0.2073081333248992,0.16381774795852394
