pair,cka,cca,rsa,cca_weighted
alphaearth-tessera,0.5573455101184123,0.43652481808417104,0.5300105526559524,0.6459516882106289
alphaearth-satclip,0.5072592815628949,0.3016105115316484,0.46834275605210074,0.5341016379620155
alphaearth-geoclip,0.6001874262517907,0.3258417394676033,0.5649277773428859,0.5638157536747554
tessera-satclip,0.4196482096323113,0.18161601892879228,0.4227528846187126,0.4384975212100716
tessera-geoclip,0.4463035901107591,0.19428201270983347,0.38068067583405457,0.43358662171204454
satclip-geoclip,0.5165657562252927,0.21186915823331015,0.43006855773716723,0.3845721496132434
