id,dim
1,3.2499356269836426
14,1.688891887664795
21,11.640667915344238
23,2.0808401107788086
27,2.021618366241455
37,2.5741257667541504
43,4.430424690246582
45,4.0935378074646
47,6.695255279541016
51,5.377682685852051
62,3.649080991744995
67,3.9137041568756104
74,5.545309066772461
77,5.594315052032471
84,8.34836483001709
104,3.4669628143310547
108,1.7179208993911743
113,4.112382411956787
116,2.5284459590911865
125,5.809006690979004
131,3.8203094005584717
132,4.167510032653809
137,3.7741196155548096
138,1.5654321908950806
143,5.775113582611084
146,3.8946900367736816
153,2.872680425643921
157,4.707294940948486
162,3.548710584640503
164,7.021326065063477
177,4.51995849609375
178,3.972163200378418
181,3.569931745529175
191,4.157534122467041
194,6.679810047149658
204,4.116940021514893
210,2.652125835418701
211,5.541843891143799
215,2.9106781482696533
222,5.390120029449463
224,6.47061014175415
225,3.4940085411071777
228,3.6776793003082275
231,3.0915493965148926
232,3.772364377975464
234,4.809427738189697
257,2.6035826206207275
261,4.984862804412842
263,3.3421082496643066
287,1.9404888153076172
289,3.740055561065674
291,4.575168132781982
293,3.8576533794403076
295,7.123249053955078
296,2.3643853664398193
299,2.2974588871002197
301,2.9391307830810547
305,2.680650234222412
306,5.205248832702637
307,2.207620620727539
311,4.448699951171875
313,3.0607426166534424
336,2.595919370651245
345,5.771531581878662
348,6.593105316162109
351,2.6576433181762695
358,6.53457498550415
371,4.890927314758301
382,10.582103729248047
385,2.128695487976074
386,1.6198650598526
388,4.54185676574707
392,5.527115821838379
393,2.1239519119262695
395,4.630890846252441
397,5.3758649826049805
400,5.240391731262207
419,3.0632317066192627
423,5.002689838409424
427,4.418266773223877
447,7.37335205078125
452,6.148221492767334
454,1.4723999500274658
464,4.828380584716797
465,6.2420334815979
468,2.7899370193481445
469,8.826194763183594
474,4.926702976226807
477,4.620425224304199
483,4.3430633544921875
486,7.771193981170654
488,6.401223182678223
494,5.348353385925293
499,5.364045143127441
500,2.8808133602142334
506,5.134212970733643
508,2.49888277053833
517,3.2125699520111084
521,2.8659112453460693
525,3.8855385780334473
528,4.716044902801514
529,1.6797420978546143
533,2.9589169025421143
539,3.2765309810638428
547,3.7809953689575195
567,7.550503730773926
573,2.5585711002349854
584,1.724342942237854
588,5.299080848693848
593,5.061002254486084
604,5.070008754730225
606,7.888566017150879
611,2.163602828979492
619,5.543297290802002
627,3.217384099960327
637,4.411175727844238
639,2.2358527183532715
644,5.280803203582764
647,2.7218191623687744
655,1.8106110095977783
657,7.069185256958008
658,3.8591015338897705
662,1.420620083808899
675,1.8713711500167847
677,2.7800052165985107
682,2.3604423999786377
687,6.630354404449463
689,4.389145374298096
698,3.201730251312256
702,2.5205419063568115
706,4.173405170440674
709,3.516167163848877
712,4.779813766479492
722,2.3129231929779053
723,3.5337705612182617
724,1.635881781578064
729,3.6148831844329834
734,4.49942684173584
743,2.287163496017456
745,1.3406202793121338
755,5.140472412109375
766,3.4725916385650635
768,4.256434440612793
769,3.511471748352051
770,5.409278392791748
774,7.12614631652832
780,6.175780296325684
794,5.90634298324585
826,3.7028748989105225
827,2.0320205688476562
832,5.339321136474609
837,5.9270734786987305
839,8.210922241210938
846,5.103967189788818
859,4.913965225219727
861,7.323678970336914
865,2.7182457447052
871,5.954676151275635
873,1.2697213888168335
882,3.751983165740967
886,3.352229356765747
893,4.590360164642334
897,1.8878530263900757
899,2.374462366104126
902,3.7839195728302
927,4.733956813812256
928,5.317033767700195
930,4.250797271728516
934,4.718945503234863
954,3.559084415435791
960,4.915416240692139
966,3.724144697189331
969,4.110172748565674
974,4.18100643157959
976,6.295007705688477
980,4.1384382247924805
981,3.9822633266448975
986,2.980189323425293
988,6.9727373123168945
991,3.2841033935546875
996,5.468968868255615
1010,5.082999229431152
1027,4.673495769500732
1028,3.5720598697662354
1031,3.175814390182495
1035,4.731069087982178
1047,2.9808595180511475
1048,4.593977928161621
1054,1.6760627031326294
1061,2.965496301651001
1062,2.529439926147461
1064,4.2124857902526855
1073,2.0900185108184814
1074,3.4612503051757812
1075,4.660545825958252
1077,2.6552958488464355
1085,3.624687671661377
1087,3.3502590656280518
1088,4.494032859802246
1091,8.632458686828613
1097,4.3145551681518555
1122,2.180758237838745
1126,3.8440165519714355
1133,16.397552490234375
