id,dim
1,6.738928318023682
14,4.359550476074219
21,18.27315330505371
23,6.06045389175415
27,3.9151721000671387
37,5.721878528594971
43,8.723596572875977
45,10.067727088928223
47,8.332947731018066
51,4.793606758117676
62,8.549513816833496
67,7.940998077392578
74,7.177673816680908
77,8.469259262084961
84,10.19870376586914
104,3.284298896789551
108,2.708491802215576
113,8.305793762207031
116,2.5413711071014404
125,8.572749137878418
131,6.884098052978516
132,8.218181610107422
137,8.544662475585938
138,2.8616409301757812
143,10.960606575012207
146,8.703319549560547
153,4.174805641174316
157,17.101171493530273
162,5.621063232421875
164,8.525839805603027
177,6.458003520965576
178,6.634709358215332
181,7.262368679046631
191,11.820148468017578
194,13.374752044677734
204,8.477396011352539
210,5.018482208251953
211,4.224066257476807
215,5.554717540740967
222,7.270897388458252
224,10.106820106506348
225,10.911722183227539
228,8.107820510864258
231,2.7784159183502197
232,7.106127738952637
234,6.470494747161865
257,6.722194671630859
261,8.71923828125
263,5.038110733032227
287,4.656200885772705
289,4.757191181182861
291,5.04320764541626
293,6.800137042999268
295,15.697433471679688
296,6.121442794799805
299,5.3417158126831055
301,6.223276138305664
305,5.498371601104736
306,8.803985595703125
307,2.4392666816711426
311,8.095970153808594
313,6.843842506408691
336,3.7434000968933105
345,5.769677639007568
348,11.381213188171387
351,6.297562599182129
358,7.177882194519043
371,8.264068603515625
385,2.94417142868042
386,2.284602403640747
388,15.072761535644531
392,22.02116584777832
393,3.860229969024658
395,8.710088729858398
397,11.553898811340332
400,10.807995796203613
419,6.23554801940918
423,3.650857448577881
427,6.705955982208252
447,10.336284637451172
452,8.735471725463867
454,2.032914638519287
464,8.432271003723145
465,7.231348514556885
468,6.938287258148193
469,15.983799934387207
474,5.188853740692139
477,5.656257152557373
483,6.640628337860107
486,12.798369407653809
488,12.203476905822754
494,9.99891185760498
499,12.1806640625
500,8.129379272460938
506,9.270563125610352
508,4.20589017868042
517,5.8268842697143555
521,7.3588972091674805
525,5.49099588394165
528,9.09780502319336
529,4.551280975341797
533,7.449844837188721
539,9.038606643676758
547,7.646160125732422
567,14.738798141479492
573,3.682955026626587
584,4.803515434265137
588,9.943610191345215
593,8.345585823059082
604,5.110996246337891
606,6.608210563659668
611,5.042791843414307
619,8.049684524536133
627,5.586283206939697
637,5.621585845947266
639,12.483846664428711
644,9.689094543457031
647,4.127852916717529
655,3.5150747299194336
657,7.513299942016602
658,7.572684288024902
662,2.323720932006836
675,3.5224292278289795
677,5.839305400848389
682,3.154836416244507
687,9.768863677978516
689,9.443923950195312
698,4.63511848449707
702,4.224998950958252
706,10.356250762939453
709,6.129863739013672
712,11.582854270935059
722,6.126950263977051
723,5.806503772735596
724,4.821224212646484
729,5.894972324371338
734,4.271062850952148
743,5.219083309173584
745,3.211266279220581
755,4.966639041900635
766,5.333156585693359
768,4.592676162719727
769,5.484393119812012
770,11.464082717895508
774,6.897921562194824
780,17.752164840698242
794,8.099650382995605
826,5.449552536010742
827,5.0476861000061035
832,7.264672756195068
837,10.079215049743652
839,10.66965103149414
846,7.323596954345703
859,7.189453601837158
861,17.775840759277344
865,10.381187438964844
871,20.061429977416992
873,1.763393759727478
882,8.761059761047363
886,8.689453125
