total_population,pop_density,maxdist_road,meandist_road,id
0,0,21978,21154,2641
57,35,2134,1223,2673
8,5,2055,1199,2682
62,38,797,238,2697
0,0,7671,6788,2703
0,0,10421,9780,2708
22,14,1345,503,2721
450,276,7528,6652,2723
37,22,1203,711,2726
0,0,3633,2752,2745
2768,1699,358,101,2768
11,6,1960,1499,2797
0,0,1452,615,2799
0,0,6180,5455,2813
0,0,50000,50000,2829
159,97,3126,2343,2849
0,0,31254,30411,2853
0,0,50000,50000,2878
1,1,6040,5208,2908
0,0,1778,1011,2927
0,0,9750,8912,2940
0,0,38946,38236,2943
3,2,23286,22453,2953
10,6,981,346,2959
6,3,4564,3826,2970
883,542,10712,9873,2990
605,371,251,45,2993
5,3,2945,2112,2996
4,3,2874,2019,3006
0,0,24723,23835,3019
0,0,885,387,3026
0,0,25537,24787,3043
0,0,1006,326,3065
0,0,8573,7925,3077
138,85,3093,2356,3080
43,26,1297,620,3081
20,12,6021,5182,3098
249,152,22739,21911,3110
0,0,1936,1081,3114
0,0,50000,50000,3117
0,0,11807,11083,3125
0,0,40331,39696,3129
479,294,2546,1661,3130
0,0,50000,50000,3132
0,0,4857,4026,3147
0,0,9081,8410,3151
9,5,1116,361,3159
189,116,746,280,3172
53,32,4374,3518,3174
4,2,17287,16580,3181
0,0,30792,29918,3185
45,28,6776,5906,3186
0,0,13204,12546,3212
0,0,5378,4584,3214
0,0,4280,3404,3240
52,32,1101,457,3253
0,0,20095,19410,3256
4,2,9575,8798,3261
47,28,8375,7673,3287
224,138,4831,4079,3297
4,2,16745,16073,3303
0,0,50000,50000,3304
40,24,790,309,3312
269,165,1068,456,3332
0,0,31520,30647,3333
41,25,4816,4061,3338
4,3,1019,389,3341
0,0,10506,9771,3345
1,0,3434,2700,3350
12,7,1265,466,3370
0,0,50000,50000,3420
0,0,50000,50000,3421
1,0,10019,9269,3438
0,0,50000,50000,3445
0,0,3718,2854,3454
123,75,20526,19664,3464
5,3,6628,6228,3477
0,0,50000,50000,3485
0,0,4675,3811,3488
2,1,28353,27553,3502
0,0,3187,2443,3506
62,38,3886,3238,3508
3,2,1607,955,3514
2,1,4736,3873,3524
0,0,17912,17052,3526
53,32,1035,401,3528
0,0,11797,11020,3530
33,20,2658,1999,3531
6,3,999,350,3535
5,3,5223,4348,3555
132,81,4375,3743,3558
27,16,3650,2773,3584
2,1,607,186,3586
0,0,50000,50000,3591
37,22,1007,343,3597
140,86,1677,782,3598
128,78,608,261,3603
29,18,1681,987,3614
38,23,4048,3186,3637
0,0,14336,13553,3667
0,0,4877,4002,3669
0,0,31468,30743,3703
1,0,3916,3038,3708
0,0,2852,1955,3717
2,1,2318,1509,3750
2,1,8906,8120,3785
20,12,5647,4830,3786
47,29,34909,34085,3788
0,0,50000,50000,3790
9,5,8069,7372,3796
12,7,4505,3875,3813
5,3,2770,2206,3822
1,0,2771,1990,3825
0,0,6335,5532,3843
50,31,2148,1427,3852
162,100,690,245,3853
0,0,50000,50000,3857
7,4,3651,2832,3860
372,228,1237,574,3870
0,0,2629,1951,3888
0,0,962,360,3897
5,3,7739,6859,3901
68,41,1402,542,3906
